file,line,pattern,snippet
"internal/storage/metricstore/elasticsearch/query_logger_test.go",12,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/integration/elasticsearch_test.go",17,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/reader.go",13,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/query_builder.go",12,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/to_domain_test.go",12,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/integration/es_index_rollover_test.go",11,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/query_logger.go",10,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/integration/es_index_cleaner_test.go",15,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/query_builder_test.go",13,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/reader_test.go",18,"olivere/elastic","	"github.com/olivere/elastic/v7""
"cmd/query/app/token_propagation_test.go",14,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/metricstore/elasticsearch/to_domain.go",12,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/config/config.go",23,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/config/config_test.go",16,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/errors.go",10,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/client.go",11,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/wrapper/wrapper.go",15,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/errors_test.go",10,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/elasticsearch/mocks/mocks.go",16,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v2/elasticsearch/depstore/storage_test.go",14,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v2/elasticsearch/depstore/storage.go",14,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/samplingstore/storage.go",13,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/spanstore/service_operation.go",15,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/spanstore/service_operation_test.go",11,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/samplingstore/storage_test.go",12,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/spanstore/reader.go",16,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/v1/elasticsearch/spanstore/reader_test.go",18,"olivere/elastic","	"github.com/olivere/elastic/v7""
"internal/storage/integration/elasticsearch_test.go",51,"elastic.","	client   *elastic.Client"
"internal/storage/integration/elasticsearch_test.go",80,"elastic.","	rawClient  err "
"internal/storage/integration/elasticsearch_test.go",81,"elastic.","		elastic.SetURL(queryURL) "
"internal/storage/integration/elasticsearch_test.go",82,"elastic.","		elastic.SetSniff(false) "
"internal/storage/integration/elasticsearch_test.go",83,"elastic.","		elastic.SetHttpClient(c))"
"internal/storage/integration/es_index_rollover_test.go",102,"elastic.","func runIndexRolloverWithILMTest(t *testing.T  client *elastic.Client  prefix st"
"internal/storage/integration/es_index_rollover_test.go",150,"elastic.","func getVersion(client *elastic.Client) (uint  error) {"
"internal/storage/integration/es_index_rollover_test.go",162,"elastic.","func createILMPolicy(client *elastic.Client  policyName string) error {"
"internal/storage/integration/es_index_rollover_test.go",167,"elastic.","func cleanES(t *testing.T  client *elastic.Client  policyName string) {"
"internal/storage/integration/es_index_rollover_test.go",174,"elastic.","		if err != nil && !elastic.IsNotFound(err) {"
"internal/storage/integration/es_index_cleaner_test.go",149,"elastic.","func runIndexCleanerTest(t *testing.T  client *elastic.Client  v8Client *elastic"
"internal/storage/integration/es_index_cleaner_test.go",177,"elastic.","func createAllIndices(client *elastic.Client  prefix string  adaptiveSampling bo"
"internal/storage/integration/es_index_cleaner_test.go",214,"elastic.","func createEsIndices(client *elastic.Client  indices []string) error {"
"internal/storage/integration/es_index_cleaner_test.go",247,"elastic.","func createESClient(t *testing.T  hcl *http.Client) (*elastic.Client  error) {"
"internal/storage/integration/es_index_cleaner_test.go",248,"elastic.","	cl  err "
"internal/storage/metricstore/elasticsearch/query_logger_test.go",77,"elastic.","		result "
"internal/storage/metricstore/elasticsearch/reader.go",53,"elastic.","	boolQuery  elastic.BoolQuery"
"internal/storage/metricstore/elasticsearch/reader.go",54,"elastic.","	aggQuery   elastic.Aggregation"
"internal/storage/metricstore/elasticsearch/reader.go",93,"elastic.","		buckets []*elastic.AggregationBucketHistogramItem "
"internal/storage/metricstore/elasticsearch/reader.go",175,"elastic.","func bucketsToPoints(buckets []*elastic.AggregationBucketHistogramItem  valueExt"
"internal/storage/metricstore/elasticsearch/reader.go",196,"elastic.","func bucketsToCallRate(buckets []*elastic.AggregationBucketHistogramItem) []*Pai"
"internal/storage/elasticsearch/errors_test.go",17,"elastic.","	esErr "
"internal/storage/elasticsearch/errors_test.go",19,"elastic.","		Details"
"internal/storage/elasticsearch/errors_test.go",22,"elastic.","			RootCause"
"internal/storage/metricstore/elasticsearch/query_builder.go",53,"elastic.","func (q *QueryBuilder) BuildErrorBoolQuery(params metricstore.BaseQueryParameter"
"internal/storage/metricstore/elasticsearch/query_builder.go",54,"elastic.","	errorQuery "
"internal/storage/metricstore/elasticsearch/query_builder.go",59,"elastic.","func (q *QueryBuilder) BuildBoolQuery(params metricstore.BaseQueryParameters  ti"
"internal/storage/metricstore/elasticsearch/query_builder.go",60,"elastic.","	boolQuery "
"internal/storage/metricstore/elasticsearch/query_builder.go",62,"elastic.","	serviceNameQuery "
"internal/storage/metricstore/elasticsearch/to_domain_test.go",29,"elastic.","		result   *elastic.SearchResult"
"internal/storage/metricstore/elasticsearch/to_domain_test.go",58,"elastic.","			result"
"internal/storage/metricstore/elasticsearch/to_domain_test.go",59,"elastic.","				Aggregations"
"internal/storage/metricstore/elasticsearch/to_domain_test.go",83,"elastic.","		result   *elastic.SearchResult"
"internal/storage/metricstore/elasticsearch/to_domain_test.go",138,"elastic.","		result *elastic.SearchResult"
"internal/storage/metricstore/elasticsearch/query_logger.go",44,"elastic.","func (ql *QueryLogger) LogAndTraceResult(span trace.Span  searchResult *elastic."
"internal/storage/metricstore/elasticsearch/query_builder_test.go",32,"elastic.","func testAggregationStructure(t *testing.T  agg elastic.Aggregation  expectedInt"
"internal/storage/metricstore/elasticsearch/query_builder_test.go",110,"elastic.","	subAgg "
"internal/storage/metricstore/elasticsearch/query_builder_test.go",137,"elastic.","	boolQuery "
"internal/storage/metricstore/elasticsearch/query_builder_test.go",138,"elastic.","	aggQuery "
"internal/storage/metricstore/elasticsearch/reader_test.go",644,"elastic.","		buckets         []*elastic.AggregationBucketHistogramItem"
"internal/storage/metricstore/elasticsearch/reader_test.go",650,"elastic.","			buckets"
"internal/storage/metricstore/elasticsearch/reader_test.go",661,"elastic.","			buckets"
"internal/storage/metricstore/elasticsearch/reader_test.go",673,"elastic.","			buckets"
"internal/storage/metricstore/elasticsearch/reader_test.go",893,"elastic.","		buckets []*elastic.AggregationBucketHistogramItem"
"internal/storage/metricstore/elasticsearch/to_domain.go",21,"elastic.","	bucketsToPointsFunc func(buckets []*elastic.AggregationBucketHistogramItem) []*"
"internal/storage/metricstore/elasticsearch/to_domain.go",24,"elastic.","func NewTranslator(bucketsToPointsFunc func(buckets []*elastic.AggregationBucket"
"internal/storage/metricstore/elasticsearch/to_domain.go",31,"elastic.","func (t *Translator) ToDomainMetricsFamily(m MetricsQueryParams  result *elastic"
"internal/storage/metricstore/elasticsearch/to_domain.go",51,"elastic.","func (t *Translator) toDomainMetrics(m MetricsQueryParams  result *elastic.Searc"
"internal/storage/metricstore/elasticsearch/to_domain.go",93,"elastic.","func (t *Translator) processOperationBucket(bucket *elastic.AggregationBucketKey"
"internal/storage/elasticsearch/mocks/mocks.go",669,"elastic.","func (_mock *IndicesCreateService) Do(ctx context.Context) (*elastic.IndicesCrea"
"internal/storage/elasticsearch/mocks/mocks.go",676,"elastic.","	var r0 *elastic.IndicesCreateResult"
"internal/storage/elasticsearch/mocks/mocks.go",678,"elastic.","	if returnFunc  ok "
"internal/storage/elasticsearch/mocks/mocks.go",681,"elastic.","	if returnFunc  ok "
"internal/storage/elasticsearch/mocks/mocks.go",685,"elastic.","			r0 = ret.Get(0).(*elastic.IndicesCreateResult)"
"internal/storage/elasticsearch/wrapper/wrapper_nolint.go",8,"elastic.","// Some of the functions of elastic.BulkIndexRequest violate golint rules "
"internal/storage/elasticsearch/config/config.go",231,"elastic.","// https"
"internal/storage/elasticsearch/config/config.go",243,"elastic.","	rawClient  err "
"internal/storage/elasticsearch/config/config.go",292,"elastic.","		Before(func(id int64  _ /* requests */ []elastic.BulkableRequest) {"
"internal/storage/elasticsearch/config/config.go",308,"elastic.","func (bcb *bulkCallback) invoke(id int64  requests []elastic.BulkableRequest  re"
"internal/storage/elasticsearch/config/config.go",524,"elastic.","func (c *Configuration) getESOptions(disableHealthCheck bool) []elastic.ClientOp"
"internal/storage/elasticsearch/wrapper/wrapper.go",22,"elastic.","// ClientWrapper is a wrapper around elastic.Client"
"internal/storage/elasticsearch/wrapper/wrapper.go",24,"elastic.","	client      *elastic.Client"
"internal/storage/elasticsearch/wrapper/wrapper.go",25,"elastic.","	bulkService *elastic.BulkProcessor"
"internal/storage/elasticsearch/wrapper/wrapper.go",35,"elastic.","// WrapESClient creates a ESClient out of *elastic.Client."
"internal/storage/elasticsearch/wrapper/wrapper.go",36,"elastic.","func WrapESClient(client *elastic.Client  s *elastic.BulkProcessor  esVersion ui"
"internal/storage/elasticsearch/config/config_test.go",915,"elastic.","	fakeRequests "
"internal/storage/elasticsearch/config/config_test.go",916,"elastic.","	response "
"internal/storage/elasticsearch/config/config_test.go",918,"elastic.","		Items"
"internal/storage/elasticsearch/config/config_test.go",922,"elastic.","					Error"
"internal/storage/elasticsearch/config/config_test.go",963,"elastic.","	fakeRequests "
"internal/storage/elasticsearch/client.go",14,"elastic.","// Client is an abstraction for elastic.Client"
"internal/storage/elasticsearch/client.go",27,"elastic.","// IndicesExistsService is an abstraction for elastic.IndicesExistsService"
"internal/storage/elasticsearch/client.go",32,"elastic.","// IndicesCreateService is an abstraction for elastic.IndicesCreateService"
"internal/storage/elasticsearch/client.go",35,"elastic.","	Do(ctx context.Context) (*elastic.IndicesCreateResult  error)"
"internal/storage/elasticsearch/client.go",38,"elastic.","// IndicesDeleteService is an abstraction for elastic.IndicesDeleteService"
"internal/storage/elasticsearch/errors.go",13,"elastic.","// DetailedError creates a more detailed error if the error stack contains elast"
"internal/storage/elasticsearch/errors.go",23,"elastic.","	var esErr *elastic.Error"
"cmd/query/app/token_propagation_test.go",49,"elastic.","		ret "
"internal/storage/v2/elasticsearch/depstore/storage_test.go",126,"elastic.","		searchResult   *elastic.SearchResult"
"internal/storage/v2/elasticsearch/depstore/storage_test.go",189,"elastic.","func createSearchResult(dependencyLink string) *elastic.SearchResult {"
"internal/storage/v2/elasticsearch/depstore/storage_test.go",191,"elastic.","	hits "
"internal/storage/v2/elasticsearch/depstore/storage_test.go",192,"elastic.","	hits[0] = &elastic.SearchHit{"
"internal/storage/v2/elasticsearch/depstore/storage_test.go",195,"elastic.","	searchResult "
"internal/storage/v2/elasticsearch/depstore/storage.go",119,"elastic.","func buildTSQuery(endTs time.Time  lookback time.Duration) elastic.Query {"
"internal/storage/v1/elasticsearch/spanstore/reader_test.go",303,"elastic.","		hits "
"internal/storage/v1/elasticsearch/spanstore/reader_test.go",304,"elastic.","		hits[0] = &elastic.SearchHit{"
"internal/storage/v1/elasticsearch/spanstore/reader_test.go",307,"elastic.","		searchHits "
